refined_category,transaction_count,unique_users,year,month,quarter,month_sin,month_cos,quarter_sin,quarter_cos,time_index,is_year_start,is_year_end,is_quarter_end,is_summer,is_festive,is_monsoon,lag_1m,lag_1m_count,lag_2m,lag_2m_count,lag_3m,lag_3m_count,lag_6m,lag_6m_count,lag_12m,lag_12m_count,roll_mean_3m,roll_std_3m,roll_max_3m,roll_min_3m,roll_mean_6m,roll_std_6m,roll_max_6m,roll_min_6m,roll_mean_12m,roll_std_12m,roll_max_12m,roll_min_12m,mom_change,mom_pct_change,yoy_lag_12m,yoy_pct_change,ratio_to_3m_avg,cat_global_mean,cat_global_median,cat_global_std,cat_global_max,cat_global_min,cat_cv,cat_same_month_hist_avg,cat_education,cat_entertainment,cat_food,cat_health,cat_misc,cat_others,cat_rent,cat_travel,cat_utilities,category_label,total_amount
education,7,6,2022,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,12,1,0,0,0,0,0,364876.0,16.0,575066.0,13.0,597815.0,13.0,279709.0,9.0,358686.0,12.0,512585.6666666667,128425.03054441264,597815.0,364876.0,437650.1666666667,124749.36726960447,597815.0,279709.0,464606.75,160397.72100972518,821757.0,239101.0,-210190.0,-0.3655058723694323,358686.0,-0.018056387496207082,0.7118341844647618,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,307735.75,1,0,0,0,0,0,0,0,0,0,206310
education,11,10,2022,2,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,13,0,0,0,0,0,0,206310.0,7.0,364876.0,16.0,575066.0,13.0,384228.0,14.0,521556.0,16.0,382084.0,184979.27811514452,575066.0,206310.0,425417.0,145249.42792038803,597815.0,206310.0,451908.75,174919.42386249267,821757.0,206310.0,-158566.0,-0.4345750337100823,521556.0,-0.4248172496278082,0.5399597994158211,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,457043.75,1,0,0,0,0,0,0,0,0,0,594400
education,9,9,2022,3,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,14,0,0,1,0,0,0,594400.0,11.0,206310.0,7.0,364876.0,16.0,424207.0,17.0,454985.0,7.0,388528.6666666667,195123.16240091366,594400.0,206310.0,460445.6666666667,158103.54657206987,597815.0,206310.0,457979.0833333333,178777.58727254494,821757.0,206310.0,388090.0,1.8811012553923705,454985.0,0.1396666896747425,1.5298742435135237,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,334818.0,1,0,0,0,0,0,0,0,0,0,476894
education,8,8,2022,4,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,15,0,0,0,1,0,0,476894.0,9.0,594400.0,11.0,206310.0,7.0,597815.0,13.0,553295.0,14.0,425868.0,199013.0687467534,594400.0,206310.0,469226.8333333333,157148.53519701248,597815.0,206310.0,459804.8333333333,178856.08536719903,821757.0,206310.0,-117506.0,-0.19768842530282638,553295.0,0.04815323582096109,1.1198164689527947,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,501672.25,1,0,0,0,0,0,0,0,0,0,632156
education,14,14,2022,5,2,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,16,0,0,0,1,0,0,632156.0,8.0,476894.0,9.0,594400.0,11.0,575066.0,13.0,239101.0,7.0,567816.6666666666,80972.69520852891,632156.0,476894.0,474950.3333333333,163274.46622379957,632156.0,206310.0,466376.5833333333,183978.93916348062,821757.0,206310.0,155262.0,0.3255692040579248,239101.0,0.14252975356726516,1.1133100472570177,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,491413.0,1,0,0,0,0,0,0,0,0,0,779588
education,11,11,2022,6,2,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,17,0,0,1,1,0,0,779588.0,14.0,632156.0,8.0,476894.0,9.0,364876.0,16.0,821757.0,18.0,629546.0,151363.87773838243,779588.0,476894.0,509037.3333333333,204500.45302117715,779588.0,206310.0,511417.1666666667,189361.15124272378,821757.0,206310.0,147432.0,0.2332209138250685,821757.0,2.2604966102191124,1.23833365631739,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,490942.0,1,0,0,0,0,0,0,0,0,0,404779
education,13,10,2022,7,3,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,18,0,0,0,0,0,1,404779.0,11.0,779588.0,14.0,632156.0,8.0,206310.0,7.0,279709.0,9.0,605507.6666666666,188820.1442440221,779588.0,404779.0,515687.8333333333,199461.33037199636,779588.0,206310.0,476669.0,163764.17828861554,779588.0,206310.0,-374809.0,-0.48077830854246084,279709.0,-0.507422510547522,0.6684952516428253,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,568978.25,1,0,0,0,0,0,0,0,0,0,420725
education,10,9,2022,8,3,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,19,0,0,0,0,0,1,420725.0,13.0,404779.0,11.0,779588.0,14.0,594400.0,11.0,384228.0,14.0,535030.6666666666,211942.88309432167,779588.0,404779.0,551423.6666666666,144613.35264859424,779588.0,404779.0,488420.3333333333,153055.28725109485,779588.0,206310.0,15946.0,0.03939433616862531,384228.0,0.5041525299507703,0.7863567945014843,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,452582.75,1,0,0,0,0,0,0,0,0,0,185436
education,12,12,2022,9,3,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,20,0,0,1,0,0,1,185436.0,10.0,420725.0,13.0,404779.0,11.0,476894.0,9.0,424207.0,17.0,336980.0,131482.91402688008,420725.0,185436.0,483263.0,204347.6727853783,779588.0,185436.0,471854.3333333333,174599.64754693853,779588.0,185436.0,-235289.0,-0.559246538712936,424207.0,-0.5173803054436428,0.550287850911017,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,419443.75,1,0,0,0,0,0,0,0,0,0,465862
education,13,11,2022,10,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,21,0,0,0,0,1,0,465862.0,12.0,185436.0,10.0,420725.0,13.0,632156.0,8.0,597815.0,13.0,357341.0,150575.0110775355,465862.0,185436.0,481424.3333333333,204466.0379296931,779588.0,185436.0,475325.5833333333,173979.21791381153,779588.0,185436.0,280426.0,1.5122522056127181,597815.0,0.09819498499553281,1.303690312614525,469532.7708333333,445826.0,180388.465546388,844242,179503,0.3841871680782327,536223.75,1,0,0,0,0,0,0,0,0,0,286439
